,Organism
0,Abelmoschus esculentus
1,Abelson leukaemia
2,Abelson murine
3,Abies balsamea
4,Abies grandis
5,Abies nobilis
6,Abies pinsapo
7,Abies sp.
8,Abortiporus biennis
9,Abracris flavolineata
10,Abramis brama
11,Abrus precatorius
12,Absidia caerulea
13,Absidia cylindrospora
14,Absidia glauca
15,Absidia orchidis
16,Absidia sp.
17,Abutilon theophrasti
18,Acacia auriculiformis
19,Acacia confusa
20,Acacia dealbata
21,Acacia mangium
22,Acacia verek
23,Acanthamoeba castellanii
24,Acanthamoeba culbertsoni
25,Acanthamoeba polyphaga
26,Acanthamoeba sp.
27,Acanthaster planci
28,Acanthocheilonema viteae
29,Acanthocystis turfacea
30,Acanthogobius flavimanus
31,Acanthopagrus schlegelii
32,Acanthophis rugosus
33,Acanthoscelides obtectus
34,Acanthus ebracteatus
35,Acartia clausii
36,Acarus siro
37,Acaryochloris marina
38,Acer campestre
39,Acer pseudoplatanus
40,Acer rubrum
41,Acer saccharinum
42,Acer saccharum
43,Acetabularia acetabulum
44,Acetabularia peniculus
45,Acetabularia sp.
46,acetic acid
47,Acetinobacter sp.
48,Acetitomaculum ruminis
49,Acetivibrio sp.
50,Acetoanaerobium sticklandii
51,Acetobacter aceti
52,Acetobacter acetigenus
53,Acetobacter ascendens
54,Acetobacter lovaniensis
55,Acetobacter orleanensis
56,Acetobacter pasteurianus
57,Acetobacter sp.
58,Acetobacterium carbinolicum
59,Acetobacterium psammolithicum
60,Acetobacterium sp.
61,Acetobacterium woodii
62,Acetobactor pasteurianus
63,Achaetomium sp.
64,Achatina achatina
65,Achatina balteata
66,Achatina fulica
67,Acherontia atropos
68,Acheta domesticus
69,Achillea millefolium
70,Achlya ambisexualis
71,Achlya bisexualis
72,Achlya sp.
73,Acholeplasma axanthum
74,Acholeplasma granularum
75,Acholeplasma laidlawii
76,Achromobacter aceris
77,Achromobacter butyri
78,Achromobacter cholinophagum
79,Achromobacter cycloclastes
80,Achromobacter denitrificans
81,Achromobacter eurydice
82,Achromobacter guttatus
83,Achromobacter liquidum
84,Achromobacter lyticus
85,Achromobacter metalcaligenes
86,Achromobacter obae
87,Achromobacter parvulus
88,Achromobacter pestifer
89,Achromobacter polymorph
90,Achromobacter ruhlandii
91,Achromobacter sp.
92,Achromobacter starkeyi
93,Achromobacter superficialis
94,Achromobacter viscosum
95,Achromobacter xylosoxidans
96,Acidaminococcus fermentans
97,Acidianus ambivalens
98,Acidianus brierleyi
99,Acidianus infernus
100,Acidianus sp.
101,Acidianus tengchongensis
102,Acidilobus saccharovorans
103,Acidiphilium acidophilum
