,Organism
0,Abies grandis
1,Abrus precatorius
2,Acanthamoeba castellanii
3,Acanthamoeba polyphaga
4,Acaryochloris marina
5,Acetoanaerobium sticklandii
6,Acetobacter aceti
7,Acetobacter pasteurianus
8,Acetobacterium woodii
9,Acholeplasma laidlawii
10,Achromobacter cycloclastes
11,Achromobacter denitrificans
12,Achromobacter lyticus
13,Achromobacter obae
14,Achromobacter xylosoxidans
15,Acidaminococcus fermentans
16,Acidianus ambivalens
17,Acidianus sp.
18,Acidilobus saccharovorans
19,Acidithiobacillus caldus
20,Acidithiobacillus ferrooxidans
21,Acidithiobacillus thiooxidans
22,Acidobacterium capsulatum
23,Acidomyces acidophilus
24,Acidothermus cellulolyticus
25,Acidovorax sp.
26,Acinetobacter baumannii
27,Acinetobacter baylyi
28,Acinetobacter calcoaceticus
29,Acinetobacter glutaminasificans
30,Acinetobacter haemolyticus
31,Acinetobacter johnsonii
32,Acinetobacter radioresistens
33,Acinetobacter sp.
34,Acremonium chrysogenum
35,Acropora millepora
36,Actinidia arguta
37,Actinidia chinensis
38,Actinidia eriantha
39,Actinobacillus pleuropneumoniae
40,Actinobacillus succinogenes
41,Actinomadura kijaniata
42,Actinomadura sp.
43,Actinoplanes missouriensis
44,Actinoplanes sp.
45,Actinoplanes teichomyceticus
46,Adeno-associated virus
47,Aedes aegypti
48,Aegilops speltoides
49,Aegilops tauschii
50,Aequorea victoria
51,Aeribacillus pallidus
52,Aerococcus viridans
53,Aeromonas caviae
54,Aeromonas enteropelogenes
55,Aeromonas hydrophila
56,Aeromonas jandaei
57,Aeromonas salmonicida
58,Aeropyrum pernix
59,African swine
60,Agaricales sp.
61,Agaricus bisporus
62,Aggregatibacter actinomycetemcomitans
63,Agkistrodon contortrix
64,Agkistrodon piscivorus
65,Agrobacterium fabrum
66,Agrobacterium sp.
67,Agrobacterium tumefaciens
68,Agrobacterium vitis
69,Agrocybe aegerita
70,Albifimbria verrucaria
71,Alcaligenes faecalis
72,Alcaligenes sp.
73,Alicyclobacillus acidocaldarius
74,Alicyclobacillus sp.
75,Aliivibrio fischeri
76,Aliivibrio salmonicida
77,Alkaliphilus oremlandii
78,Allium sativum
79,Allochromatium vinosum
80,Aloe arborescens
81,Alopecurus myosuroides
82,Alteromonas macleodii
83,Alteromonas sp.
84,Alvinella pompejana
85,Amorphotheca resinae
86,Amphibacillus xylanus
87,Amphitrite ornata
88,Ampullaria crossean
89,Amycolatopsis mediterranei
90,Amycolatopsis orientalis
91,Amycolatopsis sp.
92,Anabaena sp.
93,Anaerobiospirillum succiniciproducens
94,Anaeromyces mucronatus
95,Anaeromyxobacter dehalogenans
96,Anaeromyxobacter sp.
97,Anaerostipes caccae
98,Ananas comosus
99,Anaplasma phagocytophilum
100,Anas platyrhynchos
101,Ancylostoma ceylanicum
102,Aneurinibacillus thermoaerophilus
103,Anolis carolinensis
104,Anopheles dirus
105,Anopheles gambiae
106,Anopheles stephensi
107,Anoxybacillus sp.
108,Anser anser
109,Antheraea mylitta
110,Anthopleura japonica
111,Antirrhinum majus
112,Aotus trivirgatus
113,Aphanothece halophytica
114,Apis mellifera
115,Aplysia californica
116,Aplysia kurodai
117,Apostichopus japonicus
118,Aquifex aeolicus
119,Aquifex pyrophilus
120,Arabidopsis thaliana
121,Arachis hypogaea
122,Archaeoglobus fulgidus
123,Arenicola marina
124,Armoracia rusticana
125,Aromatoleum aromaticum
126,Artemisia annua
127,Artemisia spiciformis
128,Arthrobacter globiformis
129,Arthrobacter sp.
130,Arthrospira platensis
131,Ascaris suum
132,Ascophyllum nodosum
133,Aspergillus aculeatus
134,Aspergillus awamori
135,Aspergillus clavatus
136,Aspergillus ficuum
137,Aspergillus fischeri
138,Aspergillus flavus
139,Aspergillus fumigatus
140,Aspergillus giganteus
141,Aspergillus japonicus
142,Aspergillus luchuensis
143,Aspergillus nidulans
144,Aspergillus niger
145,Aspergillus niveus
146,Aspergillus oryzae
147,Aspergillus parasiticus
148,Aspergillus phoenicis
149,Aspergillus sp.
150,Aspergillus terreus
151,Aspergillus usamii
152,Astacus astacus
153,Astacus leptodactylus
154,Auricularia auricula-judae
155,Autographa californica
156,Avena sativa
157,Avian sarcoma
158,Azorhizobium caulinodans
159,Azospira oryzae
160,Azospirillum brasilense
161,Azotobacter vinelandii
162,Babesia bovis
163,Bacillus amyloliquefaciens
164,Bacillus anthracis
165,Bacillus atrophaeus
166,Bacillus cereus
167,Bacillus licheniformis
168,Bacillus methanolicus
169,Bacillus phage
170,Bacillus pumilus
171,Bacillus smithii
172,Bacillus sp.
173,Bacillus subtilis
